county_clean,year,n_new,new_capacity_mw,new_area_sqft,stock,cum_capacity_mw,cum_area_sqft,pre2014_stock,pre2014_capacity_mw,pre2014_area_sqft,n_unknown,stock_total,stock_capacity_mw,stock_area_sqft
ALACHUA,2014,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2022,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2023,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2024,0,0,0,0,0,0,0,0,0,0,0,0,0
ALACHUA,2025,1,1.2,2100,1,1.2,2100,0,0,0,0,1,1.2,2100
BREVARD,2014,0,0,0,0,0,0,0,0,0,2,0,0,0
BREVARD,2015,0,0,0,0,0,0,0,0,0,2,0,0,0
BREVARD,2016,0,0,0,0,0,0,0,0,0,2,0,0,0
BREVARD,2017,0,0,0,0,0,0,0,0,0,2,0,0,0
BREVARD,2018,0,0,0,0,0,0,0,0,0,2,0,0,0
BREVARD,2019,1,3,25000,1,3,25000,0,0,0,2,1,3,25000
BREVARD,2020,1,1.2,25000,2,4.2,50000,0,0,0,2,2,4.2,50000
BREVARD,2021,1,1.5,36810,3,5.7,86810,0,0,0,2,3,5.7,86810
BREVARD,2022,0,0,0,3,5.7,86810,0,0,0,2,3,5.7,86810
BREVARD,2023,0,0,0,3,5.7,86810,0,0,0,2,3,5.7,86810
BREVARD,2024,0,0,0,3,5.7,86810,0,0,0,2,3,5.7,86810
BREVARD,2025,0,0,0,3,5.7,86810,0,0,0,2,3,5.7,86810
BROWARD,2014,1,2,140000,1,2,140000,3,5.7,38264,1,4,7.7,178264
BROWARD,2015,0,0,0,1,2,140000,3,5.7,38264,1,4,7.7,178264
BROWARD,2016,0,0,0,1,2,140000,3,5.7,38264,1,4,7.7,178264
BROWARD,2017,0,0,0,1,2,140000,3,5.7,38264,1,4,7.7,178264
BROWARD,2018,2,4.65,99164,3,6.65,239164,3,5.7,38264,1,6,12.35,277428
BROWARD,2019,0,0,0,3,6.65,239164,3,5.7,38264,1,6,12.35,277428
BROWARD,2020,0,0,0,3,6.65,239164,3,5.7,38264,1,6,12.35,277428
BROWARD,2021,0,0,0,3,6.65,239164,3,5.7,38264,1,6,12.35,277428
BROWARD,2022,0,0,0,3,6.65,239164,3,5.7,38264,1,6,12.35,277428
BROWARD,2023,0,0,0,3,6.65,239164,3,5.7,38264,1,6,12.35,277428
BROWARD,2024,0,0,0,3,6.65,239164,3,5.7,38264,1,6,12.35,277428
BROWARD,2025,0,0,0,3,6.65,239164,3,5.7,38264,1,6,12.35,277428
COLLIER,2014,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2015,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2016,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2017,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2018,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2019,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2020,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2021,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2022,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2023,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2024,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
COLLIER,2025,0,0,0,0,0,0,1,0.08,500,1,1,0.08,500
DUVAL,2014,3,1.62,145570,3,1.62,145570,1,1.39,35184,3,4,3.01,180754
DUVAL,2015,1,1,11000,4,2.62,156570,1,1.39,35184,3,5,4.01,191754
DUVAL,2016,0,0,0,4,2.62,156570,1,1.39,35184,3,5,4.01,191754
DUVAL,2017,1,6,50000,5,8.62,206570,1,1.39,35184,3,6,10.01,241754
DUVAL,2018,0,0,0,5,8.62,206570,1,1.39,35184,3,6,10.01,241754
DUVAL,2019,2,21,239961,7,29.62,446531,1,1.39,35184,3,8,31.01,481715
DUVAL,2020,2,28,560000,9,57.62,1006531,1,1.39,35184,3,10,59.01,1041715
DUVAL,2021,0,0,0,9,57.62,1006531,1,1.39,35184,3,10,59.01,1041715
DUVAL,2022,0,0,0,9,57.62,1006531,1,1.39,35184,3,10,59.01,1041715
DUVAL,2023,0,0,0,9,57.62,1006531,1,1.39,35184,3,10,59.01,1041715
DUVAL,2024,0,0,0,9,57.62,1006531,1,1.39,35184,3,10,59.01,1041715
DUVAL,2025,1,2,6812,10,59.62,1013343,1,1.39,35184,3,11,61.01,1048527
HILLSBOROUGH,2014,1,1.5,15000,1,1.5,15000,12,51.91,420611,2,13,53.41,435611
HILLSBOROUGH,2015,1,3,60000,2,4.5,75000,12,51.91,420611,2,14,56.41,495611
HILLSBOROUGH,2016,2,3.3,38200,4,7.8,113200,12,51.91,420611,2,16,59.71,533811
HILLSBOROUGH,2017,0,0,0,4,7.8,113200,12,51.91,420611,2,16,59.71,533811
HILLSBOROUGH,2018,0,0,0,4,7.8,113200,12,51.91,420611,2,16,59.71,533811
