"county_name","county_fips","year","annual_dc_count","cumulative_dc_count","pre2014_dc_count","unknown_timing_dc_count","annual_capacity_mw","cumulative_capacity_mw","annual_area_sqft","cumulative_area_sqft"
"ALACHUA","12001","2014","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2015","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2016","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2017","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2018","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2019","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2020","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2021","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2022","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2023","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2024","0","0","0","0","0","0","0","0"
"ALACHUA","12001","2025","1","1","0","0","1.2","1.2","2100","2100"
"BAKER","12003","2014","0","0","0","0","0","0","0","0"
"BAKER","12003","2015","0","0","0","0","0","0","0","0"
"BAKER","12003","2016","0","0","0","0","0","0","0","0"
"BAKER","12003","2017","0","0","0","0","0","0","0","0"
"BAKER","12003","2018","0","0","0","0","0","0","0","0"
"BAKER","12003","2019","0","0","0","0","0","0","0","0"
"BAKER","12003","2020","0","0","0","0","0","0","0","0"
"BAKER","12003","2021","0","0","0","0","0","0","0","0"
"BAKER","12003","2022","0","0","0","0","0","0","0","0"
"BAKER","12003","2023","0","0","0","0","0","0","0","0"
"BAKER","12003","2024","0","0","0","0","0","0","0","0"
"BAKER","12003","2025","0","0","0","0","0","0","0","0"
"BAY","12005","2014","0","0","0","0","0","0","0","0"
"BAY","12005","2015","0","0","0","0","0","0","0","0"
"BAY","12005","2016","0","0","0","0","0","0","0","0"
"BAY","12005","2017","0","0","0","0","0","0","0","0"
"BAY","12005","2018","0","0","0","0","0","0","0","0"
"BAY","12005","2019","0","0","0","0","0","0","0","0"
"BAY","12005","2020","0","0","0","0","0","0","0","0"
"BAY","12005","2021","0","0","0","0","0","0","0","0"
"BAY","12005","2022","0","0","0","0","0","0","0","0"
"BAY","12005","2023","0","0","0","0","0","0","0","0"
"BAY","12005","2024","0","0","0","0","0","0","0","0"
"BAY","12005","2025","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2014","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2015","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2016","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2017","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2018","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2019","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2020","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2021","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2022","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2023","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2024","0","0","0","0","0","0","0","0"
"BRADFORD","12007","2025","0","0","0","0","0","0","0","0"
"BREVARD","12009","2014","0","0","0","2","0","0","0","0"
"BREVARD","12009","2015","0","0","0","2","0","0","0","0"
"BREVARD","12009","2016","0","0","0","2","0","0","0","0"
"BREVARD","12009","2017","0","0","0","2","0","0","0","0"
"BREVARD","12009","2018","0","0","0","2","0","0","0","0"
"BREVARD","12009","2019","1","1","0","2","3","3","25000","25000"
"BREVARD","12009","2020","1","2","0","2","4.2","4.2","50000","50000"
"BREVARD","12009","2021","1","3","0","2","5.7","5.7","86810","86810"
"BREVARD","12009","2022","0","3","0","2","5.7","5.7","86810","86810"
"BREVARD","12009","2023","0","3","0","2","5.7","5.7","86810","86810"
"BREVARD","12009","2024","0","3","0","2","5.7","5.7","86810","86810"
"BREVARD","12009","2025","0","3","0","2","5.7","5.7","86810","86810"
"BROWARD","12011","2014","1","4","3","1","7.7","2","178264","140000"
"BROWARD","12011","2015","0","4","3","1","7.7","2","178264","140000"
"BROWARD","12011","2016","0","4","3","1","7.7","2","178264","140000"
"BROWARD","12011","2017","0","4","3","1","7.7","2","178264","140000"
"BROWARD","12011","2018","2","6","3","1","12.35","6.65","277428","239164"
"BROWARD","12011","2019","0","6","3","1","12.35","6.65","277428","239164"
"BROWARD","12011","2020","0","6","3","1","12.35","6.65","277428","239164"
"BROWARD","12011","2021","0","6","3","1","12.35","6.65","277428","239164"
"BROWARD","12011","2022","0","6","3","1","12.35","6.65","277428","239164"
"BROWARD","12011","2023","0","6","3","1","12.35","6.65","277428","239164"
"BROWARD","12011","2024","0","6","3","1","12.35","6.65","277428","239164"
"BROWARD","12011","2025","0","6","3","1","12.35","6.65","277428","239164"
"CALHOUN","12013","2014","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2015","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2016","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2017","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2018","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2019","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2020","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2021","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2022","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2023","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2024","0","0","0","0","0","0","0","0"
"CALHOUN","12013","2025","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2014","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2015","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2016","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2017","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2018","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2019","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2020","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2021","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2022","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2023","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2024","0","0","0","0","0","0","0","0"
"CHARLOTTE","12015","2025","0","0","0","0","0","0","0","0"
"CITRUS","12017","2014","0","0","0","0","0","0","0","0"
"CITRUS","12017","2015","0","0","0","0","0","0","0","0"
"CITRUS","12017","2016","0","0","0","0","0","0","0","0"
"CITRUS","12017","2017","0","0","0","0","0","0","0","0"
"CITRUS","12017","2018","0","0","0","0","0","0","0","0"
"CITRUS","12017","2019","0","0","0","0","0","0","0","0"
"CITRUS","12017","2020","0","0","0","0","0","0","0","0"
"CITRUS","12017","2021","0","0","0","0","0","0","0","0"
"CITRUS","12017","2022","0","0","0","0","0","0","0","0"
"CITRUS","12017","2023","0","0","0","0","0","0","0","0"
"CITRUS","12017","2024","0","0","0","0","0","0","0","0"
"CITRUS","12017","2025","0","0","0","0","0","0","0","0"
"CLAY","12019","2014","0","0","0","0","0","0","0","0"
"CLAY","12019","2015","0","0","0","0","0","0","0","0"
"CLAY","12019","2016","0","0","0","0","0","0","0","0"
"CLAY","12019","2017","0","0","0","0","0","0","0","0"
"CLAY","12019","2018","0","0","0","0","0","0","0","0"
"CLAY","12019","2019","0","0","0","0","0","0","0","0"
"CLAY","12019","2020","0","0","0","0","0","0","0","0"
"CLAY","12019","2021","0","0","0","0","0","0","0","0"
"CLAY","12019","2022","0","0","0","0","0","0","0","0"
"CLAY","12019","2023","0","0","0","0","0","0","0","0"
"CLAY","12019","2024","0","0","0","0","0","0","0","0"
"CLAY","12019","2025","0","0","0","0","0","0","0","0"
"COLLIER","12021","2014","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2015","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2016","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2017","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2018","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2019","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2020","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2021","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2022","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2023","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2024","0","1","1","1","0.08","0","500","0"
"COLLIER","12021","2025","0","1","1","1","0.08","0","500","0"
"COLUMBIA","12023","2014","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2015","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2016","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2017","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2018","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2019","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2020","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2021","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2022","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2023","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2024","0","0","0","0","0","0","0","0"
"COLUMBIA","12023","2025","0","0","0","0","0","0","0","0"
"DESOTO","12027","2014","0","0","0","0","0","0","0","0"
"DESOTO","12027","2015","0","0","0","0","0","0","0","0"
"DESOTO","12027","2016","0","0","0","0","0","0","0","0"
"DESOTO","12027","2017","0","0","0","0","0","0","0","0"
"DESOTO","12027","2018","0","0","0","0","0","0","0","0"
"DESOTO","12027","2019","0","0","0","0","0","0","0","0"
"DESOTO","12027","2020","0","0","0","0","0","0","0","0"
"DESOTO","12027","2021","0","0","0","0","0","0","0","0"
"DESOTO","12027","2022","0","0","0","0","0","0","0","0"
"DESOTO","12027","2023","0","0","0","0","0","0","0","0"
"DESOTO","12027","2024","0","0","0","0","0","0","0","0"
"DESOTO","12027","2025","0","0","0","0","0","0","0","0"
"DIXIE","12029","2014","0","0","0","0","0","0","0","0"
"DIXIE","12029","2015","0","0","0","0","0","0","0","0"
"DIXIE","12029","2016","0","0","0","0","0","0","0","0"
"DIXIE","12029","2017","0","0","0","0","0","0","0","0"
"DIXIE","12029","2018","0","0","0","0","0","0","0","0"
"DIXIE","12029","2019","0","0","0","0","0","0","0","0"
"DIXIE","12029","2020","0","0","0","0","0","0","0","0"
"DIXIE","12029","2021","0","0","0","0","0","0","0","0"
"DIXIE","12029","2022","0","0","0","0","0","0","0","0"
"DIXIE","12029","2023","0","0","0","0","0","0","0","0"
"DIXIE","12029","2024","0","0","0","0","0","0","0","0"
"DIXIE","12029","2025","0","0","0","0","0","0","0","0"
"DUVAL","12031","2014","3","4","1","3","3.01","1.62","180754","145570"
"DUVAL","12031","2015","1","5","1","3","4.01","2.62","191754","156570"
"DUVAL","12031","2016","0","5","1","3","4.01","2.62","191754","156570"
"DUVAL","12031","2017","1","6","1","3","10.01","8.62","241754","206570"
"DUVAL","12031","2018","0","6","1","3","10.01","8.62","241754","206570"
"DUVAL","12031","2019","2","8","1","3","31.01","29.62","481715","446531"
"DUVAL","12031","2020","2","10","1","3","59.01","57.62","1041715","1006531"
"DUVAL","12031","2021","0","10","1","3","59.01","57.62","1041715","1006531"
"DUVAL","12031","2022","0","10","1","3","59.01","57.62","1041715","1006531"
"DUVAL","12031","2023","0","10","1","3","59.01","57.62","1041715","1006531"
"DUVAL","12031","2024","0","10","1","3","59.01","57.62","1041715","1006531"
"DUVAL","12031","2025","1","11","1","3","61.01","59.62","1048527","1013343"
"ESCAMBIA","12033","2014","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2015","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2016","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2017","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2018","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2019","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2020","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2021","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2022","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2023","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2024","0","0","0","0","0","0","0","0"
"ESCAMBIA","12033","2025","0","0","0","0","0","0","0","0"
"FLAGLER","12035","2014","0","0","0","0","0","0","0","0"
"FLAGLER","12035","2015","0","0","0","0","0","0","0","0"
"FLAGLER","12035","2016","0","0","0","0","0","0","0","0"
"FLAGLER","12035","2017","0","0","0","0","0","0","0","0"
"FLAGLER","12035","2018","0","0","0","0","0","0","0","0"
"FLAGLER","12035","2019","0","0","0","0","0","0","0","0"
"FLAGLER","12035","2020","0","0","0","0","0","0","0","0"
