county_clean,year,fips_code,county,year_month,cust_hours_out,max_customers_out,n_intervals,mcc,has_mcc,max_pct_out,n_new,stock,stock_total,pre2014_stock,n_unknown,stock_capacity_mw,stock_area_sqft,cum_capacity_mw,cum_area_sqft
ALACHUA,2014,12001,Alachua,2014-11,26033,3640,1079,218548,1,0.0166553800538097,0,0,0,0,0,0,0,0,0
ALACHUA,2014,12001,Alachua,2014-12,13829.25,2996,1157,218548,1,0.0137086589673664,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-01,10063.25,2582,1493,218548,1,0.0118143382689386,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-02,38584,15027,763,218548,1,0.0687583505682962,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-03,5509.5,696,960,218548,1,0.00318465508721196,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-04,19188,3832,1519,218548,1,0.0175339055951095,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-05,14998.25,2417,1075,218548,1,0.0110593553818841,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-06,15831,1595,1479,218548,1,0.00729816790819408,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-07,72159.5,5513,2927,218548,1,0.0252255797353442,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-08,29806.75,1385,2149,218548,1,0.00633728059739737,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-09,29785.75,3691,1940,218548,1,0.0168887384007175,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-10,5374.5,1136,1059,218548,1,0.00519794278602412,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-11,15126.5,2983,1541,218548,1,0.0136491754671743,0,0,0,0,0,0,0,0,0
ALACHUA,2015,12001,Alachua,2015-12,3673.5,686,1645,218548,1,0.0031388985486026,0,0,0,0,0,0,0,0,0
ALACHUA,2016,12001,Alachua,2016-01,8719.25,835,1612,218548,1,0.00382067097388217,0,0,0,0,0,0,0,0,0
